Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],Error [cts]
20.0001,1137.8,1137.815,1137.8,-0.015
20.0041,1139.155,1137.75,1137.735,1.405
20.0081,1086.125,1137.685,1137.67,-51.56
20.0121,1156.575,1137.62,1137.604,18.955
20.0161,1150.776,1137.555,1137.539,13.221
20.0201,1163.201,1137.49,1137.474,25.711
20.0241,1177.137,1137.425,1137.409,39.712
20.0281,1190.035,1137.36,1137.344,52.675
20.0321,1206.189,1137.295,1137.279,68.894
20.0361,1173.108,1137.23,1137.214,35.878
20.0401,1154.519,1137.165,1137.149,17.354
20.0441,1170.369,1137.1,1137.084,33.269
20.0481,1204.692,1137.035,1137.019,67.657
20.0521,1194.719,1136.97,1136.954,57.749
20.0561,1139.46,1136.905,1136.889,2.555
20.0601,1132.939,1136.84,1136.824,-3.901
20.0641,1160.817,1136.775,1136.759,24.042
20.0681,1165.503,1136.71,1136.694,28.793
20.0721,1145.709,1136.645,1136.629,9.064
20.0761,1131.009,1136.58,1136.563,-5.571
20.0801,1172.375,1136.515,1136.498,35.86
20.0841,1156.732,1136.45,1136.433,20.282
20.0881,1165.82,1136.385,1136.368,29.435
20.0921,1159.161,1136.32,1136.303,22.841
20.0961,1112.246,1136.255,1136.238,-24.009
20.1001,1145.31,1136.19,1136.173,9.12
20.1041,1149.986,1136.125,1136.108,13.861
20.1081,1175.73,1136.06,1136.043,39.67
20.1121,1153.803,1135.995,1135.978,17.808
20.1161,1194.147,1135.93,1135.913,58.217
20.1201,1197.536,1135.865,1135.848,61.671
20.1241,1158.817,1135.8,1135.783,23.017
20.1281,1169.64,1135.735,1135.718,33.905
20.1321,1120.368,1135.67,1135.653,-15.302
20.1361,1126.399,1135.605,1135.587,-9.206
20.1401,1179.442,1135.54,1135.522,43.902
20.1441,1155.322,1135.475,1135.457,19.847
20.1481,1140.689,1135.41,1135.392,5.279
20.1521,1154.187,1135.345,1135.327,18.842
20.1561,1134.238,1135.28,1135.262,-1.042
20.1601,1156.02,1135.215,1135.197,20.805
20.1641,1124.525,1135.15,1135.132,-10.625
20.1681,1152.37,1135.085,1135.067,17.285
20.1721,1199.133,1135.02,1135.002,64.113
20.1761,1192.843,1134.955,1134.937,57.888
20.1801,1189.317,1134.89,1134.872,54.427
20.1841,1105.787,1134.825,1134.807,-29.038
20.1881,1153.659,1134.76,1134.742,18.899
20.1921,1195.353,1134.695,1134.677,60.658
20.1961,1160.621,1134.63,1134.612,25.991
20.2001,1154.057,1134.565,1134.546,19.492
20.2041,1187.377,1134.5,1134.481,52.877
20.2081,1137.028,1134.435,1134.416,2.593
20.2121,1183.962,1134.37,1134.351,49.592
20.2161,1130.116,1134.304,1134.286,-4.188
20.2201,1143.816,1134.24,1134.221,9.576
20.2241,1191.015,1134.174,1134.156,56.841
20.2281,1177.074,1134.109,1134.091,42.965
20.2321,1150.891,1134.044,1134.026,16.847
20.2361,1159.911,1133.979,1133.961,25.932
