No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
1,20.0001,1163.795,1163.973,1163.795,30.25, ,5.1512,,-0.178
2,20.0041,1170.904,1163.885,1163.707,30.25, ,5.1502,,7.019
3,20.0081,1132.771,1163.797,1163.619,30.25, ,5.1492,,-31.026
4,20.0121,1146.996,1163.71,1163.53,30.25, ,5.1482,,-16.714
5,20.0161,1195.009,1163.622,1163.442,30.25, ,5.1472,,31.387
6,20.0201,1132.832,1163.534,1163.354,30.25, ,5.1461,,-30.702
7,20.0241,1149.933,1163.446,1163.266,30.25, ,5.1451,,-13.513
8,20.0281,1162.903,1163.358,1163.178,30.25, ,5.1441,,-0.455
9,20.0321,1170.583,1163.27,1163.089,30.25, ,5.1431,,7.313
10,20.0361,1150.525,1163.182,1163.001,30.25, ,5.1421,,-12.657
11,20.0401,1176.565,1163.094,1162.913,30.25, ,5.141,,13.471
12,20.0441,1163.057,1163.007,1162.825,30.25, ,5.14,,0.05
13,20.0481,1144.768,1162.919,1162.737,30.25, ,5.139,,-18.151
14,20.0521,1132.523,1162.831,1162.648,30.25, ,5.138,,-30.308
15,20.0561,1114.202,1162.743,1162.56,30.25, ,5.137,,-48.541
16,20.0601,1126.751,1162.655,1162.472,30.25, ,5.136,,-35.904
17,20.0641,1109.633,1162.567,1162.384,30.25, ,5.135,,-52.934
18,20.0681,1151.663,1162.479,1162.296,30.25, ,5.1339,,-10.816
19,20.0721,1175.65,1162.391,1162.207,30.25, ,5.1329,,13.259
20,20.0761,1167.479,1162.304,1162.119,30.25, ,5.1319,,5.175
21,20.0801,1091.75,1162.216,1162.031,30.25, ,5.1309,,-70.466
22,20.0841,1195.054,1162.128,1161.943,30.25, ,5.1299,,32.926
23,20.0881,1217.787,1162.04,1161.855,30.25, ,5.1289,,55.747
24,20.0921,1124.723,1161.952,1161.766,30.25, ,5.1279,,-37.229
25,20.0961,1193.658,1161.864,1161.678,30.25, ,5.1269,,31.794
26,20.1001,1166.587,1161.776,1161.59,30.25, ,5.1259,,4.811
27,20.1041,1171.456,1161.688,1161.502,30.25, ,5.1249,,9.768
28,20.1081,1177.309,1161.601,1161.414,30.25, ,5.1238,,15.708
29,20.1121,1163.927,1161.513,1161.325,30.25, ,5.1228,,2.414
30,20.1161,1139.759,1161.425,1161.237,30.25, ,5.1218,,-21.666
31,20.1201,1147.138,1161.337,1161.149,30.25, ,5.1208,,-14.199
32,20.1241,1098.074,1161.249,1161.061,30.25, ,5.1198,,-63.175
33,20.1281,1128.346,1161.161,1160.973,30.25, ,5.1188,,-32.815
34,20.1321,1176.341,1161.073,1160.884,30.25, ,5.1178,,15.268
35,20.1361,1168.853,1160.986,1160.796,30.25, ,5.1168,,7.867
36,20.1401,1159.305,1160.898,1160.708,30.25, ,5.1158,,-1.593
37,20.1441,1163.863,1160.81,1160.62,30.25, ,5.1148,,3.053
38,20.1481,1155.247,1160.722,1160.532,30.25, ,5.1138,,-5.475
39,20.1521,1161.209,1160.634,1160.443,30.25, ,5.1128,,0.575
40,20.1561,1179.084,1160.546,1160.355,30.25, ,5.1118,,18.538
41,20.1601,1152.913,1160.458,1160.267,30.25, ,5.1108,,-7.545
42,20.1641,1140.091,1160.37,1160.179,30.25, ,5.1098,,-20.279
43,20.1681,1192.16,1160.283,1160.091,30.25, ,5.1088,,31.877
44,20.1721,1149.656,1160.195,1160.002,30.25, ,5.1078,,-10.539
45,20.1761,1143.672,1160.107,1159.914,30.25, ,5.1068,,-16.435
46,20.1801,1132.857,1160.019,1159.826,30.25, ,5.1057,,-27.162
47,20.1841,1133.468,1159.931,1159.738,30.25, ,5.1047,,-26.463
48,20.1881,1242.616,1159.843,1159.65,30.25, ,5.1037,,82.773
49,20.1921,1203.019,1159.755,1159.561,30.25, ,5.1027,,43.264
50,20.1961,1182.915,1159.668,1159.473,30.25, ,5.1017,,23.247
51,20.2001,1206.82,1159.58,1159.385,30.25, ,5.1007,,47.24
52,20.2041,1199.598,1159.492,1159.297,30.25, ,5.0997,,40.106
53,20.2081,1186.435,1159.404,1159.208,30.25, ,5.0987,,27.031
54,20.2121,1196.112,1159.316,1159.12,30.25, ,5.0977,,36.796
55,20.2161,1185.47,1159.228,1159.032,30.25, ,5.0968,,26.242
56,20.2201,1167.464,1159.141,1158.944,30.25, ,5.0958,,8.323
57,20.2241,1156.036,1159.053,1158.856,30.25, ,5.0948,,-3.017
58,20.2281,1126.362,1158.965,1158.767,30.25, ,5.0938,,-32.603
59,20.2321,1121.032,1158.877,1158.679,30.25, ,5.0928,,-37.845
60,20.2361,1122.462,1158.789,1158.591,30.25, ,5.0918,,-36.327
61,20.2401,1086.489,1158.701,1158.503,30.25, ,5.0908,,-72.212
62,20.2441,1100.976,1158.613,1158.415,30.25, ,5.0898,,-57.637
63,20.2481,1172.873,1158.526,1158.326,30.25, ,5.0888,,14.347
64,20.2521,1174.288,1158.438,1158.238,30.25, ,5.0878,,15.85
65,20.2561,1170.494,1158.35,1158.15,30.25, ,5.0868,,12.144
66,20.2601,1228.286,1158.262,1158.062,30.25, ,5.0858,,70.024
67,20.2641,1194.415,1158.174,1157.974,30.25, ,5.0848,,36.241
68,20.2681,1127.054,1158.086,1157.885,30.25, ,5.0838,,-31.032
69,20.2721,1150.892,1157.998,1157.797,30.25, ,5.0828,,-7.106
70,20.2761,1169.507,1157.911,1157.709,30.25, ,5.0818,,11.596
71,20.2801,1159.138,1157.823,1157.621,30.25, ,5.0808,,1.315
72,20.2841,1156.266,1157.735,1157.533,30.25, ,5.0798,,-1.469
73,20.2881,1150.06,1157.647,1157.444,30.25, ,5.0789,,-7.587
74,20.2921,1168.953,1157.559,1157.356,30.25, ,5.0779,,11.394
75,20.2961,1143.462,1157.471,1157.268,30.25, ,5.0769,,-14.009
76,20.3001,1185.242,1157.383,1157.18,30.25, ,5.0759,,27.859
77,20.3041,1200.034,1157.296,1157.092,30.25, ,5.0749,,42.738
78,20.3081,1207.163,1157.208,1157.003,30.25, ,5.0739,,49.955
79,20.3121,1191.165,1157.12,1156.915,30.25, ,5.0729,,34.045
80,20.3161,1169.449,1157.032,1156.827,30.25, ,5.0719,,12.417
81,20.3201,1209.266,1156.944,1156.739,30.25, ,5.0709,,52.322
82,20.3241,1193.038,1156.856,1156.651,30.25, ,5.0699,,36.182
83,20.3281,1162.868,1156.769,1156.562,30.25, ,5.069,,6.099
84,20.3321,1133.014,1156.681,1156.474,30.25, ,5.068,,-23.667
85,20.3361,1119.058,1156.593,1156.386,30.25, ,5.067,,-37.535
86,20.3401,1154.029,1156.505,1156.298,30.25, ,5.066,,-2.476
87,20.3441,1130.308,1156.417,1156.21,30.25, ,5.065,,-26.109
88,20.3481,1117.598,1156.329,1156.121,30.25, ,5.064,,-38.731
89,20.3521,1141.676,1156.241,1156.033,30.25, ,5.063,,-14.565
90,20.3561,1137.956,1156.154,1155.945,30.25, ,5.0621,,-18.198
91,20.3601,1120.836,1156.066,1155.857,30.25, ,5.0611,,-35.23
92,20.3641,1118.589,1155.978,1155.769,30.25, ,5.0601,,-37.389
93,20.3681,1128.533,1155.89,1155.68,30.25, ,5.0591,,-27.357
94,20.3721,1131.014,1155.802,1155.592,30.25, ,5.0581,,-24.788
95,20.3761,1115.695,1155.714,1155.504,30.25, ,5.0571,,-40.019
96,20.3801,1139.153,1155.627,1155.416,30.25, ,5.0562,,-16.474
97,20.3841,1149.729,1155.539,1155.328,30.25, ,5.0552,,-5.81
98,20.3881,1163.399,1155.451,1155.239,30.25, ,5.0542,,7.948
99,20.3921,1171.005,1155.363,1155.151,30.25, ,5.0532,,15.642
100,20.3961,1174.813,1155.275,1155.063,30.25, ,5.0522,,19.538
101,20.4001,1163.559,1155.188,1154.975,30.25, ,5.0513,,8.371
102,20.4041,1157.097,1155.1,1154.886,30.25, ,5.0503,,1.997
103,20.4081,1102.329,1155.012,1154.798,30.25, ,5.0493,,-52.683
104,20.4121,1116.47,1154.924,1154.71,30.25, ,5.0483,,-38.454
105,20.4161,1172.063,1154.836,1154.622,30.25, ,5.0473,,17.227
106,20.4201,1181.934,1154.748,1154.534,30.25, ,5.0464,,27.186
107,20.4241,1178.997,1154.66,1154.445,30.25, ,5.0454,,24.337
108,20.4281,1170.727,1154.573,1154.357,30.25, ,5.0444,,16.154
109,20.4321,1193.354,1154.485,1154.269,30.25, ,5.0434,,38.869
110,20.4361,1234.119,1154.397,1154.181,30.25, ,5.0425,,79.722
111,20.4401,1191.39,1154.309,1154.093,30.25, ,5.0415,,37.081
112,20.4441,1181.211,1154.221,1154.004,30.25, ,5.0405,,26.99
113,20.4481,1163.164,1154.133,1153.916,30.25, ,5.0395,,9.031
114,20.4521,1161.872,1154.046,1153.828,30.25, ,5.0386,,7.826
115,20.4561,1122.367,1153.958,1153.74,30.25, ,5.0376,,-31.591
116,20.4601,1205.187,1153.87,1153.652,30.25, ,5.0366,,51.317
117,20.4641,1082.731,1153.782,1153.563,30.25, ,5.0356,,-71.051
118,20.4681,1209.985,1153.694,1153.475,30.25, ,5.0347,,56.291
119,20.4721,1199.453,1153.606,1153.387,30.25, ,5.0337,,45.847
120,20.4761,1126.663,1153.519,1153.299,30.25, ,5.0327,,-26.856
121,20.4801,1111.483,1153.431,1153.211,30.25, ,5.0317,,-41.948
122,20.4841,1147.077,1153.343,1153.122,30.25, ,5.0308,,-6.266
123,20.4881,1181.652,1153.255,1153.034,30.25, ,5.0298,,28.397
124,20.4921,1178.26,1153.167,1152.946,30.25, ,5.0288,,25.093
125,20.4961,1206.443,1153.079,1152.858,30.25, ,5.0279,,53.364
126,20.5001,1150.553,1152.992,1152.77,30.25, ,5.0269,,-2.439
127,20.5041,1163.543,1152.904,1152.681,30.25, ,5.0259,,10.639
128,20.5081,1170.586,1152.816,1152.593,30.25, ,5.0249,,17.77
129,20.5121,1137.322,1152.728,1152.505,30.25, ,5.024,,-15.406
130,20.5161,1104.384,1152.64,1152.417,30.25, ,5.023,,-48.256
131,20.5201,1112.068,1152.553,1152.329,30.25, ,5.022,,-40.485
132,20.5241,1126.735,1152.465,1152.24,30.25, ,5.0211,,-25.73
133,20.5281,1112.594,1152.377,1152.152,30.25, ,5.0201,,-39.783
134,20.5321,1129.766,1152.289,1152.064,30.25, ,5.0191,,-22.523
135,20.5361,1147.964,1152.201,1151.976,30.25, ,5.0182,,-4.237
136,20.5401,1137.564,1152.114,1151.888,30.25, ,5.0172,,-14.55
137,20.5441,1170.843,1152.026,1151.799,30.25, ,5.0162,,18.817
138,20.5481,1207.916,1151.938,1151.711,30.25, ,5.0153,,55.978
139,20.5521,1174.894,1151.85,1151.623,30.25, ,5.0143,,23.044
140,20.5561,1137.609,1151.762,1151.535,30.25, ,5.0133,,-14.153
141,20.5601,1132.575,1151.674,1151.447,30.25, ,5.0124,,-19.099
142,20.5641,1176.618,1151.587,1151.358,30.25, ,5.0114,,25.031
143,20.5681,1124.609,1151.499,1151.27,30.25, ,5.0104,,-26.89
144,20.5721,1174.66,1151.411,1151.182,30.25, ,5.0095,,23.249
145,20.5761,1203.722,1151.323,1151.094,30.25, ,5.0085,,52.399
146,20.5801,1155.833,1151.235,1151.005,30.25, ,5.0076,,4.598
147,20.5841,1154.891,1151.147,1150.917,30.25, ,5.0066,,3.744
148,20.5881,1158.944,1151.06,1150.829,30.25, ,5.0056,,7.884
149,20.5921,1159.201,1150.972,1150.741,30.25, ,5.0047,,8.229
150,20.5961,1114.574,1150.884,1150.653,30.25, ,5.0037,,-36.31
151,20.6001,1104.505,1150.796,1150.564,30.25, ,5.0027,,-46.291
152,20.6041,1109.393,1150.708,1150.476,30.25, ,5.0018,,-41.315
