No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
1,20.0001,1231.783,1231.889,1231.783,30.25, ,5.1512,,-0.106
2,20.0041,1260.936,1231.825,1231.719,30.25, ,5.1502,,29.111
3,20.0081,1192.675,1231.761,1231.655,30.25, ,5.1492,,-39.086
4,20.0121,1268.523,1231.698,1231.591,30.25, ,5.1482,,36.825
5,20.0161,1257.987,1231.634,1231.526,30.25, ,5.1472,,26.353
6,20.0201,1295.141,1231.57,1231.462,30.25, ,5.1461,,63.571
7,20.0241,1306.482,1231.506,1231.398,30.25, ,5.1451,,74.976
8,20.0281,1226.879,1231.442,1231.334,30.25, ,5.1441,,-4.563
9,20.0321,1217.058,1231.378,1231.27,30.25, ,5.1431,,-14.32
10,20.0361,1206.769,1231.314,1231.206,30.25, ,5.1421,,-24.545
11,20.0401,1239.321,1231.25,1231.141,30.25, ,5.141,,8.071
12,20.0441,1207.706,1231.187,1231.077,30.25, ,5.14,,-23.481
13,20.0481,1185.92,1231.123,1231.013,30.25, ,5.139,,-45.203
14,20.0521,1232.476,1231.059,1230.949,30.25, ,5.138,,1.417
15,20.0561,1227.84,1230.995,1230.885,30.25, ,5.137,,-3.155
16,20.0601,1207.995,1230.931,1230.821,30.25, ,5.136,,-22.936
17,20.0641,1226.902,1230.867,1230.756,30.25, ,5.135,,-3.965
18,20.0681,1233.116,1230.803,1230.692,30.25, ,5.1339,,2.313
19,20.0721,1198.08,1230.739,1230.628,30.25, ,5.1329,,-32.659
20,20.0761,1204.041,1230.675,1230.564,30.25, ,5.1319,,-26.634
21,20.0801,1209.632,1230.612,1230.5,30.25, ,5.1309,,-20.98
22,20.0841,1231.196,1230.548,1230.435,30.25, ,5.1299,,0.648
23,20.0881,1254.235,1230.484,1230.371,30.25, ,5.1289,,23.751
24,20.0921,1267.543,1230.42,1230.307,30.25, ,5.1279,,37.123
25,20.0961,1191.905,1230.356,1230.243,30.25, ,5.1269,,-38.451
26,20.1001,1232.71,1230.292,1230.179,30.25, ,5.1259,,2.418
27,20.1041,1218.346,1230.228,1230.115,30.25, ,5.1249,,-11.882
28,20.1081,1226.423,1230.164,1230.05,30.25, ,5.1238,,-3.741
29,20.1121,1276.144,1230.101,1229.986,30.25, ,5.1228,,46.043
30,20.1161,1250.699,1230.037,1229.922,30.25, ,5.1218,,20.662
31,20.1201,1269.013,1229.973,1229.858,30.25, ,5.1208,,39.04
32,20.1241,1238.346,1229.909,1229.794,30.25, ,5.1198,,8.437
33,20.1281,1248.844,1229.845,1229.73,30.25, ,5.1188,,18.999
34,20.1321,1251.353,1229.781,1229.665,30.25, ,5.1178,,21.572
35,20.1361,1238.345,1229.717,1229.601,30.25, ,5.1168,,8.628
36,20.1401,1209.145,1229.654,1229.537,30.25, ,5.1158,,-20.509
37,20.1441,1185.673,1229.59,1229.473,30.25, ,5.1148,,-43.917
38,20.1481,1194.287,1229.526,1229.409,30.25, ,5.1138,,-35.239
39,20.1521,1229.902,1229.462,1229.345,30.25, ,5.1128,,0.44
40,20.1561,1253.536,1229.398,1229.28,30.25, ,5.1118,,24.138
41,20.1601,1223.677,1229.334,1229.216,30.25, ,5.1108,,-5.657
42,20.1641,1237.473,1229.27,1229.152,30.25, ,5.1098,,8.203
43,20.1681,1253.041,1229.207,1229.088,30.25, ,5.1088,,23.834
44,20.1721,1268.676,1229.143,1229.024,30.25, ,5.1078,,39.533
45,20.1761,1273.369,1229.079,1228.959,30.25, ,5.1068,,44.29
46,20.1801,1234.91,1229.015,1228.895,30.25, ,5.1057,,5.895
47,20.1841,1252.519,1228.951,1228.831,30.25, ,5.1047,,23.568
48,20.1881,1249.647,1228.887,1228.767,30.25, ,5.1037,,20.76
49,20.1921,1258.83,1228.823,1228.703,30.25, ,5.1027,,30.007
50,20.1961,1290.316,1228.76,1228.639,30.25, ,5.1017,,61.556
51,20.2001,1223.761,1228.696,1228.574,30.25, ,5.1007,,-4.935
52,20.2041,1328.67,1228.632,1228.51,30.25, ,5.0997,,100.038
53,20.2081,1254.082,1228.568,1228.446,30.25, ,5.0987,,25.514
54,20.2121,1297.422,1228.504,1228.382,30.25, ,5.0977,,68.918
55,20.2161,1248.242,1228.441,1228.318,30.25, ,5.0968,,19.801
56,20.2201,1218.632,1228.377,1228.254,30.25, ,5.0958,,-9.745
57,20.2241,1215.895,1228.313,1228.189,30.25, ,5.0948,,-12.418
58,20.2281,1256.847,1228.249,1228.125,30.25, ,5.0938,,28.598
59,20.2321,1273.758,1228.185,1228.061,30.25, ,5.0928,,45.573
60,20.2361,1263.663,1228.121,1227.997,30.25, ,5.0918,,35.542
61,20.2401,1254.489,1228.058,1227.933,30.25, ,5.0908,,26.431
62,20.2441,1251.711,1227.994,1227.869,30.25, ,5.0898,,23.717
63,20.2481,1254.573,1227.93,1227.804,30.25, ,5.0888,,26.643
64,20.2521,1240.25,1227.866,1227.74,30.25, ,5.0878,,12.384
65,20.2561,1247.899,1227.802,1227.676,30.25, ,5.0868,,20.097
66,20.2601,1208.559,1227.738,1227.612,30.25, ,5.0858,,-19.179
67,20.2641,1191.609,1227.675,1227.548,30.25, ,5.0848,,-36.066
68,20.2681,1250.599,1227.611,1227.484,30.25, ,5.0838,,22.988
69,20.2721,1287.058,1227.547,1227.419,30.25, ,5.0828,,59.511
70,20.2761,1289.517,1227.483,1227.355,30.25, ,5.0818,,62.034
